segment/predict: weights=['yolov5s-seg.pt'], source=data/video/Gurkenvideo.mp4, data=data/coco128.yaml, imgsz=[640, 640], conf_thres=0.25, iou_thres=0.45, max_det=1000, device=, view_img=False, save_txt=False, save_conf=False, save_crop=False, nosave=False, classes=None, agnostic_nms=False, augment=False, visualize=False, update=False, project=runs/predict-seg, name=exp, exist_ok=False, line_thickness=3, hide_labels=False, hide_conf=False, half=False, dnn=False, vid_stride=1, retina_masks=False
YOLOv5 🚀 v7.0-365-g12b577c8 Python-3.10.12 torch-2.4.0+cu121 CUDA:0 (Tesla T4, 15102MiB)

Downloading https://github.com/ultralytics/yolov5/releases/download/v7.0/yolov5s-seg.pt to yolov5s-seg.pt...
100% 14.9M/14.9M [00:00<00:00, 32.7MB/s]

Fusing layers... 
YOLOv5s-seg summary: 224 layers, 7611485 parameters, 0 gradients, 26.4 GFLOPs
WARNING ⚠️ NMS time limit 0.550s exceeded
video 1/1 (935/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 27.8ms
video 1/1 (940/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 knife, 16.0ms
video 1/1 (943/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cow, 24.9ms
video 1/1 (948/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (982/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (983/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 15.4ms
video 1/1 (984/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (987/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (1024/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.3ms
video 1/1 (1046/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (1047/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (1055/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (1056/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (1059/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (1062/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (1084/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (1085/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (1235/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 knife, 33.4ms
video 1/1 (1244/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 umbrella, 12.3ms
